system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.936,0.909,0.922,0.927,0.964,0.945,0.916,0.835,0.874,0.926,0.903,0.914
baseline,test,0.921,0.897,0.909,0.926,0.956,0.941,0.895,0.829,0.861,0.914,0.894,0.904
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999,0.999,1.0,1.0,1.0
improved,dev,0.95,0.875,0.911,0.925,0.968,0.946,0.883,0.81,0.845,0.919,0.884,0.901
improved,test,0.922,0.894,0.908,0.931,0.958,0.944,0.89,0.836,0.862,0.914,0.896,0.905

system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
improved,train,0.481,0.954,0.64,0.94,0.776,0.85,0.872,0.635,0.735,0.764,0.788,0.742
improved,dev,0.33,0.924,0.486,0.892,0.599,0.717,0.652,0.383,0.483,0.625,0.635,0.562
improved,test,0.32,0.895,0.471,0.88,0.602,0.715,0.689,0.393,0.501,0.63,0.63,0.562

system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
improved,train,0.984,0.974,0.979,0.967,0.975,0.971,0.925,0.911,0.918,0.959,0.953,0.956
improved,dev,0.902,0.864,0.883,0.925,0.93,0.927,0.796,0.81,0.803,0.874,0.868,0.871
improved,test,0.873,0.856,0.864,0.916,0.922,0.919,0.795,0.791,0.793,0.861,0.856,0.859

system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
improved,train,1.0,0.999,0.999,0.974,0.979,0.976,0.938,0.923,0.93,0.971,0.967,0.968
improved,dev,0.806,0.836,0.821,0.916,0.906,0.911,0.766,0.768,0.767,0.829,0.837,0.833
improved,test,0.78,0.818,0.799,0.911,0.901,0.906,0.762,0.758,0.76,0.818,0.826,0.822

system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
improved,train,0.983,0.974,0.978,0.965,0.978,0.971,0.933,0.903,0.918,0.96,0.952,0.956
improved,dev,0.898,0.864,0.881,0.92,0.933,0.926,0.803,0.792,0.797,0.874,0.863,0.868
improved,test,0.87,0.853,0.861,0.914,0.927,0.92,0.804,0.784,0.794,0.863,0.855,0.858

